time,temperature,precipitation,length,area,volume
1950,-2.2224998,1676.7734,11900.0,11.525892406859237,1.4553592857569786
1951,-1.9308335,1329.1669,11900.0,11.416242692185943,1.4166313194049591
1952,-2.6224997,1453.4762,11800.0,11.346735330789114,1.4013479507716111
1953,-2.6141667,1498.1628,11700.0,11.253810989160039,1.3738033016185545
1954,-2.6058333,1526.0625,11700.0,11.171590578123991,1.3537281755345447
1955,-3.1391666,1421.599,11600.0,11.099124463185786,1.34432470717923
1956,-2.4141667,1418.5778,11500.0,11.051879530446985,1.340409002010347
1957,-1.9975001,1301.8153,11400.0,10.99006735803043,1.3311136677339865
1958,-1.5058331,1325.8373,11500.0,10.931962871165052,1.3196028082011826
1959,-2.3391669,1692.4512,11400.0,10.821512475036197,1.286746866561462
1960,-1.4891666,1424.5098,11200.0,10.732641839947359,1.2662043315044782
1961,-2.5725,1431.1094,11200.0,10.677139222894553,1.2663612259386063
1962,-3.2725,1377.0585,10900.0,10.596270742732885,1.249595938747094
1963,-1.9058336,1242.7509,10900.0,10.542515989453054,1.2406335925256444
1964,-3.1475,1800.0853,10800.0,10.46603696515361,1.2220464147371564
1965,-2.0891664,1594.248,10800.0,10.373170539572886,1.196383724905366
1966,-2.1225002,1668.1565,10700.0,10.34430924698768,1.2044231805382115
1967,-2.2891667,1469.5667,10600.0,10.283859151609901,1.1970638548561774
1968,-2.3308332,1186.0942,10600.0,10.208357421190358,1.1834642626750793
1969,-2.8558338,1511.6852,10600.0,10.152640918493834,1.1791916881056
1970,-2.3224995,1242.8588,10500.0,10.067351439117255,1.160283277434906
1971,-2.1974998,1095.9375,10400.0,9.994084736945393,1.1443568625540272
1972,-2.3641665,1272.9832,10200.0,9.915867043020464,1.1267223858681026
1973,-2.0391665,1461.2131,10200.0,9.861927785190526,1.1185198222216173
1974,-2.0391665,1599.752,10100.0,9.77563203252261,1.0958160199814648
1975,-2.4641666,1148.249,10100.0,9.727012011878944,1.0904366810232249
1976,-2.2724998,1826.8696,10000.0,9.675618906040492,1.0810812025426342
1977,-2.6308334,1503.5155,9800.0,9.607294453559746,1.0677331506856893
1978,-2.5808334,1680.2036,9800.0,9.578884625174826,1.0759000774321992
1979,-2.4225004,1471.3105,9800.0,9.542505866506978,1.0786221100159514
1980,-2.4641669,1674.8574,9700.0,9.490807873285588,1.0778387159219123
1981,-2.0808332,1554.333,9700.0,9.448658566357244,1.0747656731665478
1982,-1.3725001,1511.697,9500.0,9.38967517712026,1.0695718758571724
1983,-2.9141667,1462.7052,9400.0,9.296525289417868,1.048235838272306
1984,-2.1475,1386.6404,9400.0,9.22341383122522,1.0296846851223265
1985,-2.2391667,1450.1781,9200.0,9.192201545517714,1.0302629631303653
1986,-2.4475002,1544.6906,9200.0,9.120569345581611,1.011367781138944
1987,-1.2808331,1522.3516,9100.0,9.052810101805767,0.9967913492107023
1988,-1.3224998,1434.7625,8900.0,8.993422612522208,0.9838495031864498
